LocationID,PlantName,ProductID,ProductName,Price,Product,EffectiveDate,Quantity
1112-111,SEVIERVILLE,15391,CRUSHER RUN/GRADE C BASE,28,15391-CRUSHER RUN/GRADE C BASE,7/1/2025 0:00,1000000
1112-111,SEVIERVILLE,15441,PUG,28.5,15441-PUG,7/1/2025 0:00,0
1112-111,SEVIERVILLE,24081,NO. 2 STONE,36,24081-NO. 2 STONE,7/1/2025 0:00,1000000
1112-111,SEVIERVILLE,24151,NO. 4 STONE,36,24151-NO. 4 STONE,7/1/2025 0:00,1000000
1112-111,SEVIERVILLE,25281,NO. 57 STONE,36,25281-NO. 57 STONE,7/1/2025 0:00,1000000
1112-111,SEVIERVILLE,27261,"1/2"""" -- NO. 7 STONE",0,"27261-1/2"""" -- NO. 7 STONE",1/1/2023 0:00,1000000
1112-111,SEVIERVILLE,28181,NO. 8 UNWASHED,36,28181-NO. 8 UNWASHED,7/1/2025 0:00,0
1112-111,SEVIERVILLE,30091,NO. 10 STONE,36,30091-NO. 10 STONE,7/1/2025 0:00,1000000
1112-111,SEVIERVILLE,31041,MFG SAND - WASHED SAND,46,31041-MFG SAND - WASHED SAND,7/1/2025 0:00,1000000
1113-111,MARYVILLE,15391,CRUSHER RUN/GRADE C BASE,26.25,15391-CRUSHER RUN/GRADE C BASE,7/1/2025 0:00,1000000
1113-111,MARYVILLE,15441,PUG,26.75,15441-PUG,7/1/2025 0:00,1000000
1113-111,MARYVILLE,24151,NO. 4 STONE,34.75,24151-NO. 4 STONE,7/1/2025 0:00,0
1113-111,MARYVILLE,25281,NO. 57 STONE,34.75,25281-NO. 57 STONE,7/1/2025 0:00,1000000
1113-111,MARYVILLE,27261,NO. 7 STONE,34.75,27261-NO. 7 STONE,7/1/2025 0:00,1000000
1113-111,MARYVILLE,30091,NO. 10 STONE,34.75,30091-NO. 10 STONE,7/1/2025 0:00,1000000
1113-111,MARYVILLE,30511,BLOCK DUST,32.75,30511-BLOCK DUST,7/1/2025 0:00,1000000
1113-111,MARYVILLE,31041,MFG SAND - WASHED SAND,44.75,31041-MFG SAND - WASHED SAND,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,15391,CRUSHER RUN/GRADE C BASE,26.25,15391-CRUSHER RUN/GRADE C BASE,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,15441,GRADE D BASE PUG,26.75,15441-GRADE D BASE PUG,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,24081,NO. 2 STONE,34.75,24081-NO. 2 STONE,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,24151,NO. 4 STONE,34.75,24151-NO. 4 STONE,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,25281,NO. 57 STONE,34.75,25281-NO. 57 STONE,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,26271,NO. 67 UNWASHED,34.75,26271-NO. 67 UNWASHED,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,27261,NO. 7 STONE,34.75,27261-NO. 7 STONE,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,28181,NO. 8 STONE,34.75,28181-NO. 8 STONE,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,28341,NO. 89 D-ROCK,35.25,28341-NO. 89 D-ROCK,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,30091,NO. 10 STONE,34.75,30091-NO. 10 STONE,7/1/2025 0:00,1000000
1114-111,DIXIE LEE,31041,MFG SAND - WASHED SAND,44.75,31041-MFG SAND - WASHED SAND,7/1/2025 0:00,1000000
1115-111,RIVERSIDE DRIVE,15391,CRUSHER RUN/GRADE C BASE,26.25,15391-CRUSHER RUN/GRADE C BASE,7/1/2025 0:00,1000000
1115-111,RIVERSIDE DRIVE,15441,GRADE D BASE PUG,26.75,15441-GRADE D BASE PUG,7/1/2025 0:00,1000000
1115-111,RIVERSIDE DRIVE,23071,NO. 3 STONE,34.75,23071-NO. 3 STONE,7/1/2025 0:00,1000000
1115-111,RIVERSIDE DRIVE,24151,NO. 4 STONE,34.75,24151-NO. 4 STONE,7/1/2025 0:00,1000000
1115-111,RIVERSIDE DRIVE,25281,NO. 57 STONE,34.75,25281-NO. 57 STONE,7/1/2025 0:00,1000000
1115-111,RIVERSIDE DRIVE,25291,# 57 CC Bedding Stone,0,25291-# 57 CC Bedding Stone,8/23/2017 0:00,1000000
1115-111,RIVERSIDE DRIVE,27261,NO. 7 STONE,34.75,27261-NO. 7 STONE,7/1/2025 0:00,1000000
1115-111,RIVERSIDE DRIVE,30091,NO. 10 STONE,34.75,30091-NO. 10 STONE,7/1/2025 0:00,1000000
1116-111,KODAK,15391,CRUSHER RUN/GRADE C BASE,28,15391-CRUSHER RUN/GRADE C BASE,7/1/2025 0:00,1000000
1116-111,KODAK,15441,PUG,28.5,15441-PUG,7/1/2025 0:00,1000000
1116-111,KODAK,24081,NO. 2 UNWASHED,36,24081-NO. 2 UNWASHED,7/1/2025 0:00,1000000
1116-111,KODAK,24151,NO. 4 STONE,36,24151-NO. 4 STONE,7/1/2025 0:00,1000000
1116-111,KODAK,25281,NO. 57 STONE,36,25281-NO. 57 STONE,7/1/2025 0:00,1000000
1116-111,KODAK,25291,# 57 CC Bedding Stone,0,25291-# 57 CC Bedding Stone,1/6/2025 0:00,1000000
1116-111,KODAK,27261,NO. 7 STONE,36,27261-NO. 7 STONE,7/1/2025 0:00,1000000
1116-111,KODAK,28181,NO. 8 STONE,36,28181-NO. 8 STONE,7/1/2025 0:00,1000000
1116-111,KODAK,30091,NO. 10 STONE,36,30091-NO. 10 STONE,7/1/2025 0:00,1000000
1118-111,MAYNARDVILLE,15391,CRUSHER RUN/GRADE C BASE,23.25,15391-CRUSHER RUN/GRADE C BASE,1/1/2025 0:00,1000000
1118-111,MAYNARDVILLE,15441,GRADE D BASE PUG,23.75,15441-GRADE D BASE PUG,1/1/2025 0:00,1000000
1118-111,MAYNARDVILLE,24151,NO. 4 STONE,27,24151-NO. 4 STONE,4/1/2025 0:00,1000000
1118-111,MAYNARDVILLE,25281,NO. 57 STONE,27,25281-NO. 57 STONE,4/1/2025 0:00,1000000
1118-111,MAYNARDVILLE,27261,NO. 7 STONE,27,27261-NO. 7 STONE,4/1/2025 0:00,1000000
1118-111,MAYNARDVILLE,30091,NO. 10 STONE,27,30091-NO. 10 STONE,4/1/2025 0:00,1000000
1118-111,MAYNARDVILLE,31041,MFG SAND - WASHED SAND,34,31041-MFG SAND - WASHED SAND,4/1/2025 0:00,1000000
1119-111,TAZEWELL,15391,CRUSHER RUN/GRADE C BASE,24.25,15391-CRUSHER RUN/GRADE C BASE,1/1/2025 0:00,1000000
1119-111,TAZEWELL,15441,GRADE D BASE PUG,24.75,15441-GRADE D BASE PUG,1/1/2025 0:00,1000000
1119-111,TAZEWELL,24151,NO. 4 STONE,27.5,24151-NO. 4 STONE,4/1/2025 0:00,1000000
1119-111,TAZEWELL,25281,NO. 57 STONE,27.5,25281-NO. 57 STONE,4/1/2025 0:00,1000000
1119-111,TAZEWELL,26271,NO. 67 STONE,27.5,26271-NO. 67 STONE,4/1/2025 0:00,1000000
1119-111,TAZEWELL,27261,NO. 7 STONE,27.5,27261-NO. 7 STONE,4/1/2025 0:00,1000000
1119-111,TAZEWELL,28181,NO. 8 UNWASHED,27.5,28181-NO. 8 UNWASHED,4/1/2025 0:00,1000000
1119-111,TAZEWELL,30091,NO. 10 STONE,27.5,30091-NO. 10 STONE,4/1/2025 0:00,1000000
1121-111,ROCKFORD,15391,GRADE D BASE,12.35,15391-GRADE D BASE,3/1/2012 0:00,1000000
1121-111,ROCKFORD,15441,GRADE D BASE PUG,12.5,15441-GRADE D BASE PUG,3/1/2012 0:00,1000000
1121-111,ROCKFORD,24081,NO. 2 STONE,13.9,24081-NO. 2 STONE,3/1/2012 0:00,1000000
1121-111,ROCKFORD,24151,NO. 4 STONE,13.9,24151-NO. 4 STONE,3/1/2012 0:00,1000000
1121-111,ROCKFORD,25281,NO. 57 STONE,13.9,25281-NO. 57 STONE,3/1/2012 0:00,1000000
1121-111,ROCKFORD,27261,NO. 7 STONE,14.1,27261-NO. 7 STONE,3/1/2012 0:00,1000000
1121-111,ROCKFORD,28341,NO. 89 D-ROCK,14.1,28341-NO. 89 D-ROCK,3/1/2012 0:00,1000000
1121-111,ROCKFORD,30091,NO. 10 STONE,14.1,30091-NO. 10 STONE,3/1/2012 0:00,1000000
1123-111,LOUDON,15391,CRUSHER RUN,30,15391-CRUSHER RUN,7/1/2025 0:00,1000000
1123-111,LOUDON,24151,NO. 4 UNWASHED,37,24151-NO. 4 UNWASHED,7/1/2025 0:00,1000000
1123-111,LOUDON,25281,NO. 57 UNWASHED,37,25281-NO. 57 UNWASHED,7/1/2025 0:00,1000000
1123-111,LOUDON,27261,"COMMERCIAL 1/2""",37,"27261-COMMERCIAL 1/2""",7/1/2025 0:00,1000000
1123-111,LOUDON,28181,NO. 8 UNWASHED,37,28181-NO. 8 UNWASHED,7/1/2025 0:00,1000000
1123-111,LOUDON,30091,NO. 10,37,30091-NO. 10,7/1/2025 0:00,1000000
1125-141,KNOXVILLE YARD,24151,NO. 4 STONE,31.15,24151-NO. 4 STONE,1/1/2025 0:00,1000000
1125-141,KNOXVILLE YARD,25281,NO. 57 STONE,28.65,25281-NO. 57 STONE,1/1/2025 0:00,1000000
1125-141,KNOXVILLE YARD,25291,NO. 57 WASHED,0,25291-NO. 57 WASHED,1/1/2023 0:00,1000000
1125-141,KNOXVILLE YARD,27261,NO. 7 UNWASHED,0,27261-NO. 7 UNWASHED,1/1/2023 0:00,1000000
1131-111,BRISTOL,15391,CRUSHER RUN/GRADE C BASE,30.75,15391-CRUSHER RUN/GRADE C BASE,7/1/2025 0:00,1000000
1131-111,BRISTOL,15441,GRADE D BASE PUG,31.25,15441-GRADE D BASE PUG,7/1/2025 0:00,1000000
1131-111,BRISTOL,24151,NO. 4,36.75,24151-NO. 4,7/1/2025 0:00,1000000
1131-111,BRISTOL,25281,NO. 57 STONE,36.75,25281-NO. 57 STONE,7/1/2025 0:00,1000000
1131-111,BRISTOL,26271,NO. 67 STONE,36.75,26271-NO. 67 STONE,7/1/2025 0:00,1000000
1131-111,BRISTOL,27261,NO. 7 STONE,36.75,27261-NO. 7 STONE,7/1/2025 0:00,1000000
1131-111,BRISTOL,28181,NO. 8 STONE,36.75,28181-NO. 8 STONE,7/1/2025 0:00,1000000
1131-111,BRISTOL,30091,SCREENINGS,36.75,30091-SCREENINGS,7/1/2025 0:00,1000000
1131-111,BRISTOL,31041,MFG SAND - WASHED SAND,39.25,31041-MFG SAND - WASHED SAND,7/1/2025 0:00,1000000
1132-111,GREENEVILLE,15391,CRUSHER RUN/GRADE C BASE,30.5,15391-CRUSHER RUN/GRADE C BASE,7/1/2025 0:00,1000000
1132-111,GREENEVILLE,15441,GRADE D BASE PUG,31,15441-GRADE D BASE PUG,7/1/2025 0:00,1000000
1132-111,GREENEVILLE,24151,NO. 4,36.5,24151-NO. 4,7/1/2025 0:00,1000000
1132-111,GREENEVILLE,25151,NO. 5 STONE,36.5,25151-NO. 5 STONE,7/1/2025 0:00,1000000
1132-111,GREENEVILLE,25281,NO. 57 STONE,36.5,25281-NO. 57 STONE,7/1/2025 0:00,1000000
1132-111,GREENEVILLE,26271,NO. 67 STONE,36.5,26271-NO. 67 STONE,7/1/2025 0:00,1000000
