LocationCode,Operating Hrs (M-F),TimeZone,Phone,Address1,Name,CityOrTown,StateOrProvince,PostalOrZipCode,CountryCode,PlantPhone,Latitude,Longitude,LocationTypeCodes,ShippingContactEmail,ShippingContactFirstName,ShippingContactLastNameOrSurname,ShippingContactPhoneNumber,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,FulfillmentTypes,Is Disabled?,SupportsInventory,AllowFulfillmentWithNoStock,ShippingContactCompanyOrOrganization,Express,Transfer Enabled,Include In Location Export,Include In Inventory Aggregrate,Warehouse Enabled
1164-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,110 County Road 173,Athens,Athens,TN,37303,US,423-745-6194,35.470029,-84.638078,Aggregates,haislips_1@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1265-111,6:00 - 4:00,Central Standard Time,(615) 366-3560,8595 Highway 192,Benton County,Holladay,TN,38341,US,731-584-6278,35.876748,-88.11899,Aggregates,lindseyl@vmcmail.com,Larry,Lindsey,731-234-4867,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1131-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,1516 Highway 11 WEastern Standard Time,Bristol (TN),Bristol,TN,37620,US,423-968-3201,36.589908,-82.272739,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1162-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,4700 Shallowford Road,Chattanooga Quarry,Chattanooga,TN,37421,US,423-892-4220,35.055609,-85.208566,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1263-111,6:30 - 4:00,Central Standard Time,(615) 928-4750,7 Quarry Road,Clarksville,Clarksville,TN,37042,US,931-645-4523,36.542694,-87.369559,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1263-211,6:00 - 4:00,Central Standard Time,(615) 928-4750,13 Quarry Road,Clarksville Asphalt,Clarksville,TN,37042,US,615-394-9600,36.544687,-87.365628,Asphalt,buggg@vmcmail.com,Garrett,Bugg,615-428-0097,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1163-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,3854 Bates Pike,Cleveland,Cleveland,TN,37323,US,423-479-4516,35.137261,-84.821707,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1222-111,6:30 - 4:00,Central Standard Time,(615) 928-4750,580 Theta Pike,Columbia (TN),Columbia,TN,38401,US,931-388-7254,35.658943,-87.028451,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1222-221,6:00 - 4:00,Central Standard Time,(615) 928-4750,640 Theta Pike,Columbia Asphalt,Columbia,TN,38401,US,931-381-3311,35.660191,-87.030688,Asphalt,buggg@vmcmail.com,Garrett,Bugg,615-428-0097,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1218-111,7:00 - 4:00,Central Standard Time,(615) 928-4750,2988 Dacco Quarry Road,Cookeville,Cookeville,TN,38506,US,931-520-1125,36.138582,-85.44507,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1218-221,6:00 - 4:00,Central Standard Time,(615) 928-4750,3130 Dacco Quarry Rd,Cookeville Asphalt,Cookeville,TN,38506,US,931-372-2441,36.139666,-85.439321,Asphalt,buggg@vmcmail.com,Garrett,Bugg,615-428-0097,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1213-111,6:30 - 4:00,Central Standard Time,(615) 928-4750,3187 Franklin LimEastern Standard Timeone Rd,Danley,Antioch,TN,37013,US,615-832-7504,36.081426,-86.67884,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1213-211,6:00 - 4:00,Central Standard Time,(615) 928-4750,3185 Franklin LimEastern Standard Timeone Rd,Danley Asphalt,Antioch,TN,37103,US,615-832-0713,36.08145,-86.678796,Asphalt,buggg@vmcmail.com,Garrett,Bugg,615-428-0097,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1166-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,5730 Old Washington Hwy,Dayton,Dayton,TN,37321,US,423-775-0997,35.518718,-84.926326,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1261-111,7:00 - 4:00,Central Standard Time,(615) 928-4750,1150 N. Hummingbird Ln,Dickson,Dickson,TN,37055,US,615-446-2629,36.093979,-87.347481,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1114-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,1716 Everett Road,Dixie Lee,Concord,TN,37932,US,865-693-7075,35.887652,-84.242871,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
4404-141,7:00 - 3:00,Central Standard Time,(615) 928-4750,3955 Highway 57,East Memphis Rail Yard,Rossville,TN,38066,US,901-850-0083,35.043519,-89.574737,Aggregates,biggsje@vmcmail.com,Jessie ,Biggs,501-281-8115,,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1214-121,6:00 - 4:00,Central Standard Time,(615) 928-4750,1001 Downs Blvd,Franklin (TN),Franklin,TN,37064,US,615-794-3586,35.909398,-86.891708,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
